Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,,"Per 1,000 live births",15.8
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,,"Per 1,000 live births",15.5
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,,"Per 1,000 live births",15.4
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,,"Per 1,000 live births",15.3
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,,"Per 1,000 live births",14.9
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,,"Per 1,000 live births",14.7
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,,"Per 1,000 live births",14.5
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,,"Per 1,000 live births",14.4
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,,"Per 1,000 live births",14.2
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,,under 1 year old,,"Per 1,000 live births",14.0
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Male,under 1 year old,,"Per 1,000 live births",17.9
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Male,under 1 year old,,"Per 1,000 live births",17.5
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Male,under 1 year old,,"Per 1,000 live births",17.5
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Male,under 1 year old,,"Per 1,000 live births",17.4
2014,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Male,under 1 year old,,"Per 1,000 live births",16.9
2015,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Male,under 1 year old,,"Per 1,000 live births",16.7
2016,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Male,under 1 year old,,"Per 1,000 live births",16.4
2017,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Male,under 1 year old,,"Per 1,000 live births",16.3
2018,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Male,under 1 year old,,"Per 1,000 live births",16.1
2019,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Male,under 1 year old,,"Per 1,000 live births",15.8
2010,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Female,under 1 year old,,"Per 1,000 live births",13.6
2011,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Female,under 1 year old,,"Per 1,000 live births",13.4
2012,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Female,under 1 year old,,"Per 1,000 live births",13.3
2013,Normal value,Units,Not Available,Annual,National,Infant mortality rate [3.2.1],Viet Nam,Female,under 1 year old,,"Per 1,000 live births",13.2
